"gene" "baseMean"	"log2FoldChange"	"lfcSE"	"stat"	"pvalue"	"padj"
"Gpr107"	9313.28360255557	0.15132778360593	0.0704191132129865	2.14895895022465	0.0316376541169145	0.140646370038877
"Nalcn"	149.949595855718	0.319006604153752	0.144853762733897	2.20226660414602	0.0276464817312561	0.129713797468207
"Btbd17"	10.0837779466023	0.0587284744408812	0.521623262054936	0.112587912988237	0.910357268153372	NA
"Slfn4"	9107.87361512967	1.50752197547125	0.433086136336388	3.48088255196495	0.000499764581539774	0.00920275244943893
"Th"	20.5032436743355	-0.364906596264239	0.341159501066769	-1.06960701702053	0.284796235350672	NA
"Scnn1g"	23.4086730631898	-0.172266990199417	0.625164654627125	-0.27555459017779	0.782890191479897	NA
"Drp2"	167.704974464267	0.120333558790283	0.162308595581474	0.741387468477472	0.458458540509857	0.691764846787469
"Tspan32"	120.052506349477	-0.00110711256004817	0.233060207715226	-0.00475032855630566	0.99620980044089	0.998551845302978
"Clec2g"	28.8591713026704	0.488753603472327	0.379791077357788	1.2869012270446	0.198128717563108	NA
"Gmpr"	577.768385605677	-0.187821489036783	0.147776725001031	-1.27098153674385	0.203735217107171	0.440511292522191
"Mid2"	3748.51346479269	0.130026985614277	0.108311346587857	1.20049274347084	0.229948029195713	0.474388208200934
"Trim25"	9920.60374633759	0.461954572284999	0.148260948738103	3.11582096443361	0.00183433604177324	0.0217400853190345
"Dgke"	1418.00368545734	0.102312882486775	0.0840348098169021	1.21750596817793	0.223411767083451	0.465602386324628
"Scpep1"	6095.56062893099	-0.0154986161788411	0.142132772907519	-0.109043226708351	0.913168204773425	0.962423839067789
"Mnt"	1405.01788427145	0.276365216902565	0.150383208171429	1.83773986645852	0.0661007463485303	0.224082203931369
"Itgb2"	120.998430640465	0.239726208006016	0.301575381503012	0.794913055605707	0.426664079280439	0.665431260694824
"Hddc2"	654.799962394833	-0.329117476154196	0.122333948113757	-2.69032007246389	0.00713835172031793	0.0534428241357256
"Tpd52l1"	581.81511580512	-0.645812277975302	0.150814843659194	-4.28215328349698	1.85093401636361e-05	0.000970893716848394
"Pemt"	306.067063597247	-0.23649457530193	0.142561836438206	-1.65889119564224	0.0971377191058988	0.283331801644668
"Cdh1"	73860.7168950734	0.142777475402197	0.110631167956747	1.29057188890944	0.196852168936245	0.430999417726946
"Cdh4"	69.8637616903904	0.233511871713385	0.320743315756122	0.728033477994399	0.466593093099153	0.697711811238926
